round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
1,1.111874,26.047272,60000,4,6.19
2,1.019478,26.578244,60000,4,1.953
3,0.938022,26.900561,60000,4,1.998
4,0.860141,27.768056,60000,4,2.705
5,0.793256,29.278025,60000,4,2.469
6,0.726444,30.418724,60000,4,2.079
7,0.669019,31.294628,60000,4,4.315
8,0.616925,31.842266,60000,4,5.551
9,0.574465,32.260105,60000,4,6.208
10,0.534055,30.798674,60000,4,5.712
11,0.497525,31.313526,60000,4,6.196
12,0.465787,29.015614,60000,4,7.01
13,0.439308,28.755783,60000,4,6.638
14,0.420046,26.885359,60000,4,6.968
15,0.406615,27.486791,60000,4,6.959
16,0.387918,26.96802,60000,4,6.377
17,0.374189,26.633734,60000,4,6.82
18,0.370139,25.231479,60000,4,7.163
19,0.358185,26.155136,60000,4,6.35
20,0.34491,27.606926,60000,4,6.708
21,0.336241,27.061191,60000,4,6.684
22,0.330626,25.106214,60000,4,6.301
23,0.319556,26.989107,60000,4,6.67
24,0.317249,26.31791,60000,4,6.356
25,0.312896,26.897342,60000,4,6.198
26,0.307654,26.369553,60000,4,6.417
27,0.299421,25.65264,60000,4,6.448
28,0.295009,25.612245,60000,4,6.332
29,0.289518,25.319813,60000,4,6.326
30,0.286506,25.901257,60000,4,5.858
31,0.283862,27.235129,60000,4,5.852
32,0.283791,26.437633,60000,4,5.757
33,0.275794,25.910263,60000,4,5.939
34,0.274533,26.185996,60000,4,5.853
35,0.271729,25.080428,60000,4,5.591
36,0.267455,26.39767,60000,4,6.091
37,0.266504,26.544854,60000,4,5.702
38,0.262811,24.796959,60000,4,6.849
39,0.264976,26.202204,60000,4,6.127
40,0.261398,25.216202,60000,4,5.948
41,0.255475,25.080065,60000,4,6.223
42,0.253374,26.383194,60000,4,6.072
43,0.253918,25.991239,60000,4,6.012
44,0.252841,27.286416,60000,4,6.098
45,0.249068,26.561165,60000,4,5.815
46,0.250661,25.796217,60000,4,6.369
47,0.246079,25.89608,60000,4,6.42
48,0.245539,25.730335,60000,4,5.743
49,0.249922,26.175273,60000,4,6.127
50,0.241926,26.409098,60000,4,5.774
51,0.242803,25.668227,60000,4,6.031
52,0.245975,26.767239,60000,4,6.186
53,0.245429,25.712708,60000,4,6.344
54,0.240618,25.793554,60000,4,5.969
55,0.240758,27.558863,60000,4,7.264
56,0.237215,25.914012,60000,4,5.834
57,0.237209,25.561726,60000,4,6.365
58,0.23624,26.264591,60000,4,5.68
59,0.236354,26.577395,60000,4,6.016
60,0.234568,26.116717,60000,4,6.121
61,0.236622,25.38862,60000,4,5.769
62,0.231216,25.592278,60000,4,6.033
63,0.231778,26.277451,60000,4,6.051
64,0.231361,25.584449,60000,4,6.036
65,0.22909,25.513045,60000,4,6.198
66,0.231667,26.915239,60000,4,6.033
67,0.225967,25.179799,60000,4,6.564
68,0.228939,25.188508,60000,4,6.272
69,0.230653,26.902102,60000,4,6.069
70,0.227971,25.193339,60000,4,6.006
71,0.227157,25.813737,60000,4,5.463
72,0.228552,26.894389,60000,4,5.881
73,0.230241,26.595345,60000,4,5.815
74,0.225604,26.581513,60000,4,5.897
75,0.224466,25.924022,60000,4,5.677
76,0.227606,25.905467,60000,4,5.664
77,0.220703,27.7363,60000,4,6.177
78,0.223887,26.017431,60000,4,5.546
79,0.220133,26.142482,60000,4,5.915
80,0.220905,26.021224,60000,4,5.929
81,0.221214,26.486779,60000,4,5.756
82,0.223019,27.038173,60000,4,5.888
83,0.221392,26.733747,60000,4,5.523
84,0.220966,26.36175,60000,4,6.101
85,0.219682,27.512073,60000,4,5.663
86,0.22039,26.291202,60000,4,5.938
87,0.21976,27.076459,60000,4,6.191
88,0.216057,26.898455,60000,4,5.77
89,0.220922,25.092597,60000,4,6.07
90,0.219025,27.428377,60000,4,5.769
91,0.217923,25.473254,60000,4,6.104
92,0.218102,25.948028,60000,4,6.047
93,0.211754,26.731602,60000,4,5.878
94,0.217369,24.967342,60000,4,6.107
95,0.215107,26.589656,60000,4,5.665
96,0.21546,26.036831,60000,4,6.128
97,0.21718,25.830148,60000,4,5.953
98,0.213133,25.636518,60000,4,5.972
99,0.211776,26.627133,60000,4,5.879
100,0.214783,25.712935,60000,4,5.756
