round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.977814,38.797722,60000,4,,,,,,
2,0.454252,23.10207,60000,4,,,,,,
3,0.272463,15.841711,60000,4,,,,,,
4,0.2126,11.994871,60000,4,,,,,,
5,0.179652,10.840953,60000,4,1841.48779296875,0.5670269727706909,0.09375,1.8632659912109375,9,0.9904
6,0.163748,11.258935,60000,4,,,,,,
7,0.151826,9.10467,60000,4,,,,,,
8,0.142547,7.583682,60000,4,,,,,,
9,0.134941,8.174721,60000,4,,,,,,
10,0.127828,9.799054,60000,4,1567.787353515625,0.6417033076286316,0.16015625,1.868908166885376,9,0.9904
11,0.125797,9.585627,60000,4,,,,,,
12,0.119754,6.981563,60000,4,,,,,,
13,0.11561,6.861155,60000,4,,,,,,
14,0.116963,6.56705,60000,4,,,,,,
15,0.112982,5.898771,60000,4,1320.41259765625,0.6751552224159241,0.2265625,2.0056514739990234,10,0.9904
16,0.108027,6.087182,60000,4,,,,,,
17,0.106863,5.795579,60000,4,,,,,,
18,0.104314,5.419619,60000,4,,,,,,
19,0.103649,6.737822,60000,4,,,,,,
20,0.101674,5.64857,60000,4,1271.50439453125,0.6839156150817871,0.2421875,1.9730106592178345,9,0.9904
21,0.099198,5.525752,60000,4,,,,,,
22,0.100164,4.745177,60000,4,,,,,,
23,0.097184,5.598175,60000,4,,,,,,
24,0.096568,4.291018,60000,4,,,,,,
25,0.095359,6.294864,60000,4,1102.719970703125,0.7322365045547485,0.28125,1.9766430854797363,10,0.9904
26,0.095333,5.281871,60000,4,,,,,,
27,0.094331,6.30126,60000,4,,,,,,
28,0.091884,4.683412,60000,4,,,,,,
29,0.092042,5.744031,60000,4,,,,,,
30,0.090191,4.601705,60000,4,1143.437744140625,0.7257624268531799,0.29296875,1.9573390483856201,10,0.9904
31,0.091599,5.419143,60000,4,,,,,,
32,0.090649,4.533406,60000,4,,,,,,
33,0.089828,5.738566,60000,4,,,,,,
34,0.090154,3.603079,60000,4,,,,,,
35,0.088934,5.750737,60000,4,1039.1474609375,0.7434068322181702,0.30859375,1.9748690128326416,9,0.9904
36,0.087628,4.154629,60000,4,,,,,,
37,0.086817,5.708315,60000,4,,,,,,
38,0.086374,3.86412,60000,4,,,,,,
39,0.086447,5.078222,60000,4,,,,,,
40,0.084786,4.916344,60000,4,1055.1292724609375,0.7318203449249268,0.328125,1.9509515762329102,10,0.9904
41,0.084398,4.785354,60000,4,,,,,,
42,0.08472,4.099718,60000,4,,,,,,
43,0.084148,4.538907,60000,4,,,,,,
44,0.083183,3.956341,60000,4,,,,,,
45,0.083523,5.515091,60000,4,1019.0155029296875,0.739564061164856,0.296875,1.9881173372268677,10,0.9904
46,0.083075,4.353821,60000,4,,,,,,
47,0.082824,4.676538,60000,4,,,,,,
48,0.083194,4.712128,60000,4,,,,,,
49,0.08252,4.576294,60000,4,,,,,,
50,0.081552,4.350548,60000,4,1001.266357421875,0.7524773478507996,0.30859375,1.9669252634048462,10,0.9904
51,0.081673,4.309931,60000,4,,,,,,
52,0.082321,4.110195,60000,4,,,,,,
53,0.080327,3.371159,60000,4,,,,,,
54,0.081988,4.656477,60000,4,,,,,,
55,0.079898,4.980917,60000,4,909.5574951171875,0.7554072141647339,0.34375,2.028883457183838,10,0.9904
56,0.079794,3.688919,60000,4,,,,,,
57,0.080729,5.028482,60000,4,,,,,,
58,0.080675,3.976524,60000,4,,,,,,
59,0.079228,5.212073,60000,4,,,,,,
60,0.078307,3.307074,60000,4,962.859619140625,0.7484014630317688,0.34765625,1.9665311574935913,10,0.9904
61,0.078297,4.716824,60000,4,,,,,,
62,0.077545,3.867946,60000,4,,,,,,
63,0.07799,3.931803,60000,4,,,,,,
64,0.078044,3.749402,60000,4,,,,,,
65,0.077436,3.300894,60000,4,917.39794921875,0.7732011675834656,0.40625,2.010481595993042,10,0.9904
66,0.077891,4.17305,60000,4,,,,,,
67,0.078477,3.474685,60000,4,,,,,,
68,0.077648,4.530089,60000,4,,,,,,
69,0.076502,3.570444,60000,4,,,,,,
70,0.076049,3.762401,60000,4,910.27978515625,0.7726261019706726,0.3984375,2.0046560764312744,10,0.9904
71,0.076296,3.878366,60000,4,,,,,,
72,0.076502,5.38677,60000,4,,,,,,
73,0.076534,3.510712,60000,4,,,,,,
74,0.075805,4.188131,60000,4,,,,,,
75,0.07542,3.9098,60000,4,888.630126953125,0.7619348764419556,0.34765625,2.0360798835754395,10,0.9904
