round,avg_client_loss,proxy_fid,total_samples,aggregated_clients
1,1.105192,30.485878,60000,4
2,0.525187,17.089869,60000,4
3,0.285923,9.081261,60000,4
4,0.207932,6.760655,60000,4
5,0.177042,4.59532,60000,4
6,0.164463,9.347551,60000,4
7,0.152215,3.717535,60000,4
8,0.142587,8.061531,60000,4
9,0.132872,3.640087,60000,4
10,0.125521,7.812253,60000,4
11,0.121715,4.418861,60000,4
12,0.114078,5.294089,60000,4
13,0.109788,4.072773,60000,4
14,0.109369,5.1878,60000,4
15,0.1049,3.568238,60000,4
16,0.100195,5.075966,60000,4
17,0.098523,3.32629,60000,4
18,0.095891,4.794319,60000,4
19,0.094881,3.602556,60000,4
20,0.092848,4.863361,60000,4
21,0.091331,3.656297,60000,4
22,0.091226,3.407683,60000,4
23,0.088934,4.106735,60000,4
24,0.087259,3.290403,60000,4
25,0.086307,4.479633,60000,4
26,0.086992,2.808955,60000,4
27,0.08554,3.992876,60000,4
28,0.084272,3.389335,60000,4
29,0.083075,4.467454,60000,4
30,0.082071,3.208121,60000,4
31,0.084179,3.563299,60000,4
32,0.083332,4.012557,60000,4
33,0.082242,3.614014,60000,4
34,0.082583,3.644828,60000,4
35,0.080579,3.310212,60000,4
36,0.080316,4.079624,60000,4
37,0.079486,4.091432,60000,4
38,0.079558,3.659444,60000,4
39,0.079486,3.410228,60000,4
40,0.078634,4.955578,60000,4
41,0.079129,2.775986,60000,4
42,0.078587,5.118947,60000,4
43,0.077278,2.727157,60000,4
44,0.076725,4.44065,60000,4
45,0.076784,3.306165,60000,4
